sno,Trial_Name,Trial_Type,location,year,latitude,longitude,planting_date,harvesting_date,population,Experimental _Design,Cassavabase
1,19.GS.C1.C2.C3.AYT.42.AG,AYT,AG,2019,7.246878,4.32369,2019-July-09,2020-July-02,C1.C2.C3,RCBD,yes
2,19.GS.C1.C2.C3.AYT.42.UB,AYT,UB,2019,6.64506,6.413808,2019-July-09,2020-July-20,C1.C2.C3,RCBD,yes
3,19.GS.C2.UYT.36.setA.AB,UYT,AB,2019,9.0765,7.3986,2019-June-19,2020-July-28,C2,Alpha,yes
4,19.GS.C2.UYT.36.setA.AG,UYT,AG,2019,7.246878,4.32369,2019-June-01,2020-June-22,C2,Alpha,yes
5,19.GS.C2.UYT.36.setA.IB,UYT,IB,2019,7.493828,3.900242,2019-May-16,2020-April-20,C2,Alpha,yes
6,19.GS.C2.UYT.36.setA.IK,UYT,IK,2019,6.849067,3.698877,2019-June-01,2020-June-15,C2,Alpha,yes
7,19.GS.C2.UYT.36.setA.MK,UYT,MK,2019,9.355362,5.017075,2019-June-27,2020-May-16,C2,Alpha,yes
8,19.GS.C2.UYT.36.setA.ON,UYT,ON,2019,4.705832,7.174359,2019-April-10,2020-July-28,C2,Alpha,yes
9,19.GS.C2.UYT.36.setA.UB,UYT,UB,2019,6.64506,6.413808,2019-June-01,2020-June-04,C2,Alpha,yes
10,19.GS.C2.UYT.36.setA.ZA,UYT,ZA,2019,11.0855,7.7199,2019-June-24,2020-August-04,C2,Alpha,yes
11,19.GS.C2.UYT.36.setB.AB,UYT,AB,2019,9.0765,7.3986,2019-June-19,2020-July-30,C2,Alpha,yes
12,19.GS.C2.UYT.36.setB.AG,UYT,AG,2019,7.246878,4.32369,2019-June-01,2020-June-24,C2,Alpha,yes
13,19.GS.C2.UYT.36.setB.IB,UYT,IB,2019,7.493828,3.900242,2019-May-16,2020-April-28,C2,Alpha,yes
14,19.GS.C2.UYT.36.setB.IK,UYT,IK,2019,6.849067,3.698877,2019-June-01,2020-June-17,C2,Alpha,yes
15,19.GS.C2.UYT.36.setB.MK,UYT,MK,2019,9.355362,5.017075,2019-June-27,2020-May-18,C2,Alpha,yes
16,19.GS.C2.UYT.36.setB.ON,UYT,ON,2019,4.705832,7.174359,2019-April-10,2020-July-30,C2,Alpha,yes
17,19.GS.C2.UYT.36.setB.UB,UYT,UB,2019,6.64506,6.413808,2019-June-01,2020-June-08,C2,Alpha,yes
18,19.GS.C2.UYT.36.setB.ZA,UYT,ZA,2019,11.0855,7.7199,2019-June-24,2020-August-06,C2,Alpha,yes
19,19.GS.C3.AYT.20.EB.AG,AYT,AG,2019,7.246878,4.32369,2019-May-25,2020-June-16,C3,RCBD,yes
20,19.GS.C3.AYT.20.EB.MK,AYT,MK,2019,9.355362,5.017075,2019-June-12,2020-June-29,C3,RCBD,yes
21,19.GS.C3.AYT.20.EB.UB,AYT,UB,2019,6.64506,6.413808,2019-May-28,2020-June-08,C3,RCBD,yes
22,19.GS.C3B.AYT.21.PD.AG,AYT,AG,2019,7.246878,4.32369,2019-May-25,2020-June-18,C3B,RCBD,yes
23,19.GS.C3B.AYT.21.PD.MK,AYT,MK,2019,9.355362,5.017075,2019-June-12,2020-May-14,C3B,RCBD,yes
24,19.GS.C3B.AYT.21.PD.UB,AYT,UB,2019,6.64506,6.413808,2019-May-28,2020-June-09,C3B,RCBD,yes
25,19.GS.C3.UYT.28.AG,UYT,AG,2019,7.246878,4.32369,2019-September-22,2020-September-22,C3,Alpha,yes
26,19.GS.C3.UYT.28.IK,UYT,IK,2019,6.849067,3.698877,2019-September-22,2020-August-17,C3,Alpha,yes
27,19.GS.C4.AYT.30.IB,AYT,IB,2019,7.493828,3.900242,2019-September-09,2020-August-18,C4,RCBD,yes
28,19.GS.C4.AYT.30.IK,AYT,IK,2019,6.849067,3.698877,2019-September-21,2020-August-19,C4,RCBD,yes
29,19.GS.C4B.PYT.135.IK,PYT,IK,2019,6.849067,3.698877,2019-July-18,2020-July-29,C4B,RCBD,Yes
30,19.GS.C4B.PYT.135.UB,PYT,UB,2019,6.64506,6.413808,2019-July-18,2020-July-22,C4B,RCBD,yes
31,19.GS.C4B.PYT.78.AG,PYT,AG,2019,7.246878,4.32369,2019-July-16,2020-May-19,C4B,RCBD,yes
32,19.GS.C4B.PYT.78.MK,PYT,MK,2019,9.355362,5.017075,2019-July-18,2020-May-22,C4B,RCBD,yes
33,19.GS.C4B.PYT.88.AG,PYT,AG,2019,7.246878,4.32369,2019-July-16,2020-May-18,C4B,RCBD,yes
34,19.GS.C4B.PYT.88.MK,PYT,MK,2019,9.355362,5.017075,2019-July-18,2020-May-25,C4B,RCBD,yes
35,19.GS.C4.PYT.80.SETA.AG,PYT,AG,2019,7.246878,4.32369,2019-September-10,2020-August-17,C4,RCBD,yes
36,19.GS.C4.PYT.80.SETA.IK,PYT,IK,2019,6.849067,3.698877,2019-September-10,2020-August-18,C4,RCBD,yes
37,19.GS.C4.PYT.80.SETB.AG,PYT,AG,2019,7.246878,4.32369,2019-September-10,2020-August-21,C4,RCBD,yes
38,19.GS.C4.PYT.80.SETB.IK,PYT,IK,2019,6.849067,3.698877,2019-September-10,2020-August-20,C4,RCBD,yes
39,19NCRPAB,NCRP,AB,2019,9.0765,7.3986,2019-July-18,2020-July-20,,Alpha,yes
40,19NCRPAG,NCRP,AG,2019,7.246878,4.32369,2019-June-02,2020-July-27,,Alpha,yes
41,19NCRPIK,NCRP,IK,2019,6.849067,3.698877,2019-August-04,2020-July-28,,Alpha,yes
42,19NCRPMK,NCRP,MK,2019,9.355362,5.017075,2019-July-22,2020-July-20,,Alpha,yes
43,19NCRPON,NCRP,ON,2019,4.705832,7.174359,2019-May-25,2020-July-28,,Alpha,yes
44,19NCRPUB,NCRP,UB,2019,6.64506,6.413808,2019-July-18,2020-July-21,,Alpha,yes
45,19NCRPZA,NCRP,ZA,2019,11.0855,7.7199,2019-July-22 ,2020-July-24,,Alpha,yes
