"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
4484,"17.GS.C2.setA.UYT.36.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan selected from 2016-2017.GS.C2.AYT35,AYT29,GS.C1.ungenotype.AYT21 AND AYT39 ",NA,162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",3,"Ibadan","2017-September-08",NA,6,5.5,NA,3,3,0.36288,"no","no",3065,"17_Ibadan",NA," No ManagementFactor: "
4486,"17.GS.C3.ExpCET.63.IB","Genomic Selection cycle 3 ungenotyped CET of 342 clones evaluated at Ibadan in 2017/2018 Breeding season ",NA,162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Augmented",3,"Ibadan","2017-January-20","2018-December-12",1,2.5,NA,2,1,0.0315,"no","no",3065,"17_Ibadan",NA," No ManagementFactor: "
4378,"17ayt14highTCIK","Assessment of Varieties of Cassava for high yield, disease resistance and high total carotenoid retention in an Preliminary Yield Trial (14 clones) in ikenne  2017/2018 Breeding Season","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne",NA,NA,NA,NA,NA,2,2,NA,"no","no",3094,"17_Ikenne",NA," No ManagementFactor: "
4557,"17pyt18pdIK","Assessment of Varieties of Cassava for poundability in Preliminary Yield Trial (18 clones)  in ikenne 2017/2018 Breeding Season from 2016seedling nursery ikenne","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"RCBD",32,"Ikenne","2017-August-30",NA,1,8,NA,2,2,0.0288,"no","no",3094,"17_Ikenne",NA," No ManagementFactor: "
4379,"17pyt23highTCIK","Assessment of Varieties of Cassava for high yield, disease resistance and high total carotenoid retention in an Preliminary Yield Trial (23 clones) in ikenne  2017/2018 Breeding Season from 2016seedling nursery ikenne","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne","2017-August-24","2018-April-30",1,8,NA,2,2,0.0368,"no","no",3094,"17_Ikenne",NA," No ManagementFactor: "
4559,"17pyt34highDMIK","Assessment of Varieties of Cassava for High Dry matter  in Preliminary Yield Trial (34 clones)  in ikenne 2017/2018 Breeding Season from 2016seedling nursery ikenne IK.","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"RCBD",32,"Ikenne","2017-August-24","2018-August-09",1,8,NA,2,2,0.0544,"no","no",3094,"17_Ikenne",NA," No ManagementFactor: "
4380,"17pyt34highTCIK","Assessment of Varieties of Cassava for high yield, disease resistance and high total carotenoid retention in an Preliminary Yield Trial (34 clones) in ikenne  2017/2018 Breeding Season from 2016seedling nursery ikenne IK.","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne","2017-August-29","2018-August-29",1,8,NA,2,2,0.0544,"no","no",3094,"17_Ikenne",NA," No ManagementFactor: "
4370,"18.C3B.PYT.45.IB","Genomic selection cycle 3 Preliminary  Yield Trial using 45 accessions in Ibadan for 2018-19 breeding season","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",3,"Ibadan","2018-February-08",NA,2.5,2,NA,2,2,0.09,"no","no",3629,"18_Ibadan",NA," No ManagementFactor: "
4303,"18.CASS.PYT.52.IB","Assessment of Diverse collection for cassava sink source Varieties of Cassava for high yield, disease resistance in an Preliminary Yield Trial (52 clones) in Ibadan 2018/2019 Breeding Season","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Augmented",3,"Ibadan","2018-July-05",NA,NA,NA,NA,2,2,NA,"no","no",3629,"18_Ibadan",NA," No ManagementFactor: "
4305,"18.CMSSurveyVarieties.AYT33.IB","CMS survey popular variety characterization experiment using 33 clones in Breeding season 2018-19 at Ibadan","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",3,"Ibadan","2018-April-25",NA,4,4,NA,3,3,0.198,"no","no",3629,"18_Ibadan",NA," No ManagementFactor: "
5095,"18.CMSSurveyVarieties.AYT33.IK","CMS survey popular variety characterization experiment using 33 clones in Breeding season 2018-19 at Ikenne ","Advanced Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne","2018-October-19",NA,4,4,NA,3,3,0.198,"no","no",4194,"18_Ikenne",NA," No ManagementFactor: "
4330,"18.GS.C1.C2.PYT.60.AG","Preliminary yield trial using 60 accessions in Ago-Owu for 2018-19 breeding season selected from 17.GS.C3.CET149.UBJ","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",196,"Ago-Owu","2018-October-21",NA,2,4,NA,2,2,0.096,"no","no",3819,"18_Ago-Owu",NA," No ManagementFactor: "
4347,"18.GS.C1.C2.UYT.26.IK","Uniform Yield Trial using 26 accessions in Ikenne for 2018-19 breeding season selected from 2017.GS.C3.AYT'S
17.GS.C0.C1.AYT.20.setA
17.GS.C0.C1.AYT.20.setB
17.GS.C0.C1.AYT.25.IB
17.GS.C1.C2.AYT28","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne","2018-June-20",NA,5.5,6,NA,12,3,0.26208,"no","no",4194,"18_Ikenne",NA," No ManagementFactor: "
4369,"18.GS.C1.C2.UYT.26.MK","Uniform Yield Trial using 26 accessions in Mokwa for 2018-19 breeding season selected from 2017.GS.C3.AYT'S","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",8,"Mokwa","2018-June-14",NA,6,5.5,NA,6,3,0.26208,"no","no",4101,"18_Mokwa",NA," No ManagementFactor: "
4342,"18.GS.C1.C2.UYT.26.UB","Uniform Yield Trial using 26 accessions in Ubiaja for 2018-19 breeding season selected from 2017.GS.C3.AYT'S",NA,162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",5,"Ubiaja","2018-June-16",NA,6,5.5,NA,6,3,0.26208,"no","no",3821,"18_Ubiaja",NA," No ManagementFactor: "
4372,"18.GS.C1.C3.PYT.21.Selgain.IB","Preliminary yield trial using 21 accessions in Ibadan for 2018-19 breeding season","Preliminary Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",3,"Ibadan","2018-June-07",NA,2,4,NA,2,2,0.14112,"no","no",3629,"18_Ibadan",NA," No ManagementFactor: "
4331,"18.GS.C2.UYT.36.setA.AG","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ago-Owu for 2018-19 breeding season selected from 2016-2017.GS.C2.AYT'S","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",196,"Ago-Owu","2018-June-22",NA,6,5.5,NA,3,3,0.36288,"no","no",3819,"18_Ago-Owu",NA," No ManagementFactor: "
4332,"18.GS.C2.UYT.36.setB.AG","Genomic selection cycle 2 Uniform Yield Trial Set B using 36 accessions in Ago-Owu for 2018-19 breeding season selected from 2016-2017.GS.C2.AYT'S","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",196,"Ago-Owu","2018-June-23",NA,6,5.5,NA,3,3,0.36288,"no","no",3819,"18_Ago-Owu",NA," No ManagementFactor: "
4373,"18.GS.C2.setA.UYT.36.IB","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ibadan for 2018-19 breeding season ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",3,"Ibadan","2018-July-19",NA,6,5.5,NA,3,3,0.36288,"no","no",3629,"18_Ibadan",NA," No ManagementFactor: "
4348,"18.GS.C2.setA.UYT.36.IK","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Ikenne for 2018-19 breeding season ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",32,"Ikenne","2018-June-18",NA,6,5.5,NA,9,3,0.36288,"no","no",4194,"18_Ikenne",NA," No ManagementFactor: "
4363,"18.GS.C2.setA.UYT.36.KN","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Kano for 2018-19 breeding season ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",18,"Kano","2018-July-16",NA,6,5.5,NA,11,3,0.36288,"no","no",4362,"18_Kano",NA," No ManagementFactor: "
4365,"18.GS.C2.setA.UYT.36.MK","Genomic selection cycle 2 Uniform Yield Trial Set A using 36 accessions in Mokwa for 2018-19 breeding season ","Uniform Yield Trial",162,"IITA","IITA cassava breeding program, Ibadan, Nigeria",2018,"Alpha",8,"Mokwa","2018-June-15",NA,6,5.5,NA,9,3,0.36288,"no","no",4101,"18_Mokwa",NA," No ManagementFactor: "
