"Dataset","GeneticGroup","Trait","r.squared","nobs","InterceptEst","YearAccessionEst"
"AllGermplasm","GS","BCHROMO",0.853200429853593,4,471.949709341032,-0.234308266306957
"AllGermplasm","PreGS","BCHROMO",0.0429320500009833,28,-113.563319428659,0.0566349556720956
"AllGermplasm","GS","BRLVLS",0.128056189668454,4,18.1115255289541,-0.0089737447795771
"AllGermplasm","PreGS","BRLVLS",0.0312190521794414,28,-3.92542102419943,0.00191103216943455
"AllGermplasm","GS","DM",0.84804996118602,4,-367.860728301966,0.182568172231242
"AllGermplasm","PreGS","DM",0.00265199900047905,28,12.8247622547918,-0.00647151239034733
"AllGermplasm","GS","HI",0.916954297673092,4,-5.9505790130003,0.00295382416252501
"AllGermplasm","PreGS","HI",0.0339994735825041,28,-0.682112236858929,0.000348678096880361
"AllGermplasm","GS","logDYLD",0.967303668155648,4,-32.7297866556761,0.0162451710772747
"AllGermplasm","PreGS","logDYLD",0.0746434645691865,28,-3.97169024705404,0.00202037244364506
"AllGermplasm","GS","logFYLD",0.765413214741969,4,-34.9962751058498,0.0173631983302517
"AllGermplasm","PreGS","logFYLD",0.211165777201514,28,-10.0364111789886,0.00510281478697545
"AllGermplasm","GS","logTOPYLD",0.433355274839289,4,-11.9159076456251,0.00590941184803676
"AllGermplasm","PreGS","logTOPYLD",0.157427238326902,28,-6.93186887008728,0.0035059070377561
"AllGermplasm","GS","MCMDS",0.719677046149838,4,72.225087314368,-0.0358507430332938
"AllGermplasm","PreGS","MCMDS",0.496833868536568,28,48.0679271755013,-0.0240746537151752
"WhiteRootClones","GS","BCHROMO",0.0579712020263166,4,39.176930829085,-0.0208431302589188
"WhiteRootClones","PreGS","BCHROMO",0.0573489238932477,27,37.3227110042109,-0.0201925316318248
"WhiteRootClones","GS","BRLVLS",0.0484472300456022,4,-15.7816767251047,0.00780908137328657
"WhiteRootClones","PreGS","BRLVLS",0.00967159301252591,27,-2.41461293903054,0.00113835604287687
"WhiteRootClones","GS","DM",0.815761731454767,4,-334.746663222958,0.166401624980088
"WhiteRootClones","PreGS","DM",0.00200534133206509,27,-14.6935281312468,0.00756022520961282
"WhiteRootClones","GS","HI",0.852386037640515,4,-6.34769428150955,0.00315287808501679
"WhiteRootClones","PreGS","HI",0.0645647414991178,27,-1.08892725117906,0.000553696636713767
"WhiteRootClones","GS","logDYLD",0.912829260241521,4,-31.7062537411573,0.0157478926645509
"WhiteRootClones","PreGS","logDYLD",0.127073266142112,27,-5.12612492984557,0.0026098120826614
"WhiteRootClones","GS","logFYLD",0.825411222278142,4,-40.4750001935948,0.0200853459487962
"WhiteRootClones","PreGS","logFYLD",0.268484258369163,27,-11.9213371781346,0.00605521613766571
"WhiteRootClones","GS","logTOPYLD",0.935604304264502,4,-18.4227385466056,0.00913432740488749
"WhiteRootClones","PreGS","logTOPYLD",0.168742300224469,27,-7.81169588794476,0.00395038988973302
"WhiteRootClones","GS","MCMDS",0.763641264678156,4,87.529954620587,-0.0434426676251946
"WhiteRootClones","PreGS","MCMDS",0.507530437119805,27,50.554517305735,-0.0253250055985488
