"Dataset","GeneticGroup","Trait","r.squared","nobs","InterceptEst","YearAccessionEst"
"AllGermplasm","GS","logDYLD",0.0597436075404615,7800,-32.8435513625844,0.016302128193513
"AllGermplasm","GS","logFYLD",0.0397470279157563,7800,-34.8372928236721,0.0172870776273899
"AllGermplasm","GS","MCMDS",0.0286617299403202,7800,72.9953447092252,-0.0362283847654803
"AllGermplasm","GS","DM",0.0211351821410409,7800,-369.570522237176,0.183437380516781
"AllGermplasm","GS","BCHROMO",0.0101788743977446,7800,476.210869138915,-0.236414007863828
"AllGermplasm","GS","BRLVLS",0.00315760273392296,7800,17.9085113078064,-0.00888010105194096
"AllGermplasm","GS","HI",0.0183721247159456,7800,-5.98198278714253,0.00296958003359492
"AllGermplasm","GS","logTOPYLD",0.00674624913426604,7800,-11.6739546281615,0.00579065678361876
"AllGermplasm","PreGS","logDYLD",0.00128284489654805,449,-1.43150735297789,0.000745486556094549
"AllGermplasm","PreGS","logFYLD",0.0260292839278322,449,-8.34066265828672,0.00425459091577132
"AllGermplasm","PreGS","MCMDS",0.112661566382916,449,46.7030870433978,-0.023418557267049
"AllGermplasm","PreGS","DM",0.015435357784963,449,108.729779558032,-0.0545255180490382
"AllGermplasm","PreGS","BCHROMO",0.0162609158144803,449,-210.797112724022,0.105299082903592
"AllGermplasm","PreGS","BRLVLS",0.00467325212073866,449,-5.64649886602845,0.00277230993974108
"AllGermplasm","PreGS","HI",0.00683182300544982,449,-1.11276920358659,0.00056259198861521
"AllGermplasm","PreGS","logTOPYLD",0.0162925022461873,449,-5.61930288893558,0.0028572570528287
"WhiteRootClones","GS","logDYLD",0.0588583173581338,5568,-31.670540904718,0.0157310781164803
"WhiteRootClones","GS","logFYLD",0.0531070368075577,5568,-40.9607248785379,0.0203292287496357
"WhiteRootClones","GS","MCMDS",0.039417464673464,5568,85.9181833830886,-0.0426380400656532
"WhiteRootClones","GS","DM",0.0200139377342059,5568,-335.923824306337,0.16700609727121
"WhiteRootClones","GS","BCHROMO",0.00102786272396684,5568,44.62269690596,-0.0235684363287491
"WhiteRootClones","GS","BRLVLS",0.00221781987629141,5568,-13.5887497762563,0.00671108721187097
"WhiteRootClones","GS","HI",0.0220049592650385,5568,-6.38569581551828,0.00317211461782593
"WhiteRootClones","GS","logTOPYLD",0.0169638653652556,5568,-18.5792266301272,0.00921262558072201
"WhiteRootClones","PreGS","logDYLD",0.00487341758963761,346,-2.42686340579123,0.00125585108123733
"WhiteRootClones","PreGS","logFYLD",0.0296757097566357,346,-8.21064634744821,0.00419729169227551
"WhiteRootClones","PreGS","MCMDS",0.12647787807718,346,45.9661525944985,-0.0230525728168185
"WhiteRootClones","PreGS","DM",0.00422688445719293,346,51.5416199934671,-0.0256549154506257
"WhiteRootClones","PreGS","BCHROMO",0.000424623778312638,346,-11.4927839628086,0.00422904222804494
"WhiteRootClones","PreGS","BRLVLS",0.000216123074284374,346,0.855767633457935,-0.000510031052254061
"WhiteRootClones","PreGS","HI",0.0105153099422566,346,-1.29697808254237,0.000656998875899741
"WhiteRootClones","PreGS","logTOPYLD",0.0146826284942102,346,-4.98442694566886,0.00253947578562694
